wss,dist_border_1,dist_border_2,dist_border_3,temperature,rainfall,hhi,n_sub,dist_mag_km,treated_1,cons_po,users_fix,cons_fix,cons_pf,cons_phcut1,cons_phcut5,cons_phcut10,cons_ph,year_start,type_org,loc_org,typeorg1,typeorg2,typeorg3,typeorg4,typeorg5,bill_ph,pobl_urb,pobl_tot,indrural,areaoficialkm2,altura,dismdo,nbi,IPM,TMI,tacued,taseo,talcan,y_corr_usd
817,246.52873,190.63335,164.60823,28.23077,182.83231,.53220963,1,192.45143,1,28.517492,4262,121570.54,28.517492,28.517492,28.517492,28.517492,28.517492,,4,,0,0,0,1,0,.28529081,19302.77,27299.309,.29288977,270,234,209.47751,47.571453,64.837677,13.42327,70.562309,77.03154,68.766922,.75122255
821,58.848537,58.848537,337.69397,13.181818,96.980003,.65397048,.81521457,59.042873,0,35.622746,13299.454,472492,35.622746,35.622746,35.622746,35.622746,35.622746,12,4,1,0,0,0,1,0,.58167726,77449.453,80881.273,.042442076,107,2546,30.615322,11.058769,24.115339,10.06117,95.479088,98.44091,92.746361,20.979958
822,15.726726,15.726726,413.42221,22.866667,404.07999,.58741397,.89325595,87.821144,1,23.605637,14348.267,338647.13,23.605637,23.605637,23.605637,23.605637,23.605637,12,4,1,0,0,0,1,0,.39872068,59329.398,77259.93,.23208272,208,1536,4.5235386,14.458714,40.586849,11.004422,97.384003,92.419998,92.033333,4.2414842
825,35.726837,67.149345,67.149345,27.4375,197.63625,.65338522,.89865923,67.819489,0,19.818552,50621.875,1002901.4,19.818552,19.818552,19.818552,19.818552,19.818552,11,4,1,0,0,0,1,0,.52148312,254271.88,271861,.064707994,292,213,197.70032,42.019806,54.525059,15.044271,42.744999,21.52,39.740002,19.318647
826,32.740078,55.724621,55.724621,27.8125,190.98625,.58100092,.86061525,56.299759,0,28.309776,10505.188,297743.75,28.309776,28.309776,28.309776,28.309776,28.309776,11,4,1,0,0,0,1,0,.19670765,50741.625,62039.25,.18211335,272,152,204.59395,44.844692,63.504169,14.592271,94.787498,94.787498,94.787498,2.2378626
829,60.065166,60.065166,393.25525,26.75,1354.7849,.65104967,.99808246,217.40311,0,21.710751,7150.375,154929.13,21.710751,21.710751,21.710751,21.710751,21.710751,6,4,1,0,0,0,1,0,.28008941,107187.13,115533,.072241232,3075,43,124.97364,89.47171,72.103767,33.404339,10.74125,53.981251,6.2087498,5.8855667
838,10.268298,10.268298,288.36551,12.636364,94.889999,.16233292,1,180.6852,1,20.835102,444.18182,9261.2725,20.835102,20.835102,20.835102,20.835102,20.835102,12,2,1,0,1,0,0,0,.14167409,1168.2727,2966.0908,.60606146,326,1980,123.69054,38.151363,69.292801,17.011709,16.547274,16.547274,16.547274,1.0955832
846,55.062664,55.062664,138.29669,26.5,162.7925,.42556882,1,131.10133,1,.45150816,252.5,114,.45150816,.45150816,.45150816,.45150816,.45150816,18,2,1,0,1,0,0,0,,887,4346,.79590428,80,1980,71.72789,56.795605,73.557388,19.114153,100,100,100,.64814061
847,51.556458,51.556458,220.99152,12.5,130.13667,.18812156,1,148.28053,1,25.771469,955.08331,24622.834,25.771469,25.771469,25.771469,25.771469,25.771469,14,2,1,0,1,0,0,0,.12712742,2620.25,9608.833,.72731763,165,2574,164.62479,32.45895,69.714752,14.907829,100,29.695,24.9825,3.118886
849,53.551693,53.551693,382.35312,25.90909,336.88364,.10498291,1,219.78059,0,33.332943,649.36365,21620.727,33.332943,33.332943,33.332943,33.332943,33.332943,6,4,1,0,0,0,1,0,.1503903,1738.0909,4001.1819,.56561017,832,235,66.300507,43.998837,74.01918,25.743973,69.414543,69.165451,63.881817,1.7884476
